estado,feminino,masculino
CREA-AC,710,1892
CREA-AL,1677,7159
CREA-AM,4236,11833
CREA-AP,391,1278
CREA-BA,12202,39436
CREA-CE,4673,19166
CREA-DF,4602,18081
CREA-ES,6004,17778
CREA-GO,8487,28991
CREA-MA,3821,12044
CREA-MG,32656,121679
CREA-MS,3793,13313
CREA-MT,6962,20483
CREA-PA,9615,24308
CREA-PB,2848,10438
CREA-PE,5646,20929
CREA-PI,1935,7985
CREA-PR,13595,58273
CREA-RJ,23618,93569
CREA-RN,3361,11362
CREA-RO,2123,5258
CREA-RR,544,1119
CREA-RS,14061,54101
CREA-SC10400,37472
CREA-SE,1888,5614
CREA-SP,53124,281812
CREA-TO,1799,5200
