estado,feminino,masculino
Acre,1.181,236
Alagoas,5.399,991
Amapá,1.201,261
Amazonas,5.163,996
Bahia,21.113,3.559
Ceará,12.387,2.508
Distrito Federal,13.246,2.407
Espírito Santo,7.601,1.499
Goiás,13.638,1.966
Maranhão,5.475,1.028
Mato Grosso,6.371,939
Mato Grosso do Sul,5.204,789
Minas Gerais,48.465,9.033
Pará,6.055,1.206
Paraíba,6.869,1.323
Paraná,27.062,4.695
Pernambuco,17.090,2.930
Piauí,4.005,714
Rio de Janeiro,50.682,8.476
Rio Grande do Norte,5.605,1.186
Rio Grande do Sul,27.680,4.001
Rondônia,2.743,516
Roraima,971,167
Santa Catarina,17.963,2.739
São Paulo,132.077,22.613
Sergipe,3.372,723
Tocantins,2.244,373
